38 Provinsi,
,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi
,2025
ACEH,10.42
SUMATERA UTARA,10.29
SUMATERA BARAT,10.03
RIAU,9.8
JAMBI,9.32
SUMATERA SELATAN,9.28
BENGKULU,9.71
LAMPUNG,9
KEP. BANGKA BELITUNG,9.09
KEP. RIAU,10.78
DKI JAKARTA,11.58
JAWA BARAT,9.46
JAWA TENGAH,8.62
DI YOGYAKARTA,10.58
JAWA TIMUR,8.81
BANTEN,9.82
BALI,10.07
NUSA TENGGARA BARAT,8.87
NUSA TENGGARA TIMUR,8.88
KALIMANTAN BARAT,8.54
KALIMANTAN TENGAH,9.36
KALIMANTAN SELATAN,9.17
KALIMANTAN TIMUR,10.3
KALIMANTAN UTARA,9.69
SULAWESI UTARA,10.1
SULAWESI TENGAH,9.38
SULAWESI SELATAN,9.38
SULAWESI TENGGARA,9.9
GORONTALO,8.78
SULAWESI BARAT,8.91
MALUKU,10.63
MALUKU UTARA,9.78
PAPUA BARAT,9.9
PAPUA BARAT DAYA,10.6
PAPUA,10.65
PAPUA SELATAN,8.87
PAPUA TENGAH,6.27
PAPUA PEGUNUNGAN,4.76
INDONESIA,9.41
